CVE-2005-0255; cpe:/a:mozilla:firefox:; 1.0.2
CVE-2012-4293; cpe:/a:wireshark:wireshark; 1.4.15
CVE-2012-4293; cpe:/a:wireshark:wireshark; 1.6.10
CVE-2012-4293; cpe:/a:wireshark:wireshark; 1.8.2
CVE-2012-4528; cpe:/a:modsecurity:modsecurity:; 2.7.0
CVE-2012-4578; Software not allocatable!; r239184
CVE-2012-4712; cpe:/o:moxa:edr_g903_firmware:; 2.11
CVE-2012-4909; cpe:/a:google:chrome:; 18.0.1025308
CVE-2012-5001; cpe:/a:hitachi:jp1%2fcm2%2fnetwork_node_manager; 09
CVE-2012-5139; cpe:/a:google:chrome; 23.0.1271.97
CVE-2012-5219; cpe:/a:hp:managed_printing_administration; 2.7.0
CVE-2012-5264; cpe:/a:adobe:flash_player:; 10.3.183.29
CVE-2012-5264; cpe:/a:adobe:flash_player:; 11.4.402.287
CVE-2012-5264; cpe:/a:adobe:flash_player:; 10.3.183.29
CVE-2012-5264; cpe:/a:adobe:flash_player:; 11.2.202.243
CVE-2012-5264; cpe:/a:adobe:flash_player_for_android:; 11.1.111.19
CVE-2012-5264; cpe:/a:adobe:flash_player_for_android:; 11.1.115.20
CVE-2012-5264; cpe:/a:adobe:adobe_air_sdk:; 3.4.0.2710
CVE-2012-5264; cpe:/a:adobe:adobe_air_sdk:; 3.4.0.2710
CVE-2012-5651; cpe:/a:drupal:drupal:; 6.27
CVE-2012-5651; cpe:/a:drupal:drupal:; 7.18
CVE-2012-5657; cpe:/a:zend:zend_framework; 1.11.15
CVE-2012-5657; cpe:/a:zend:zend_framework; 1.12.1
CVE-2012-5943; cpe:/a:ibm:lotus_inotes; 8.5.3:fp4
CVE-2012-6428; cpe:/o:carlosgavazzi:eos-box_photovoltaic_monitoring_system_firmware:; 1.0.0.1080_2.1.10
CVE-2012-6467; cpe:/a:opera:opera_browser:; 12.10
CVE-2012-6547; cpe:/o:linux:linux_kernel:3.; 3.6
CVE-2012-6575; cpe:/a:mobile4social:exposed_filter_data:; 6.x
CVE-2013-0329; cpe:/a:cloudbees:jenkins; 1.502
CVE-2013-0329; cpe:/a:cloudbees:jenkins:; 1.480.3
CVE-2013-0544; cpe:/a:ibm:websphere_application_server:; 6.1.0.47
CVE-2013-0544; cpe:/a:ibm:websphere_application_server:; 7.0.0.29
CVE-2013-0544; cpe:/a:ibm:websphere_application_server:; 8.0.0.6
CVE-2013-0544; cpe:/a:ibm:websphere_application_server:; 8.5.0.2
CVE-2013-0612; cpe:/a:adobe:acrobat_reader:; 9.5.3
CVE-2013-0612; cpe:/a:adobe:acrobat_reader:; 10.1.5
CVE-2013-0612; cpe:/a:adobe:acrobat_reader:; 11.0.1
CVE-2013-0772; cpe:/a:mozilla:firefox:3.6.; 19.0
CVE-2013-0772; cpe:/a:mozilla:thunderbird:; 17.0.3
CVE-2013-0772; cpe:/a:mozilla:seamonkey:; 2.16
CVE-2013-0843; cpe:/a:google:chrome:; 24.0.1312.56
CVE-2013-0926; cpe:/a:google:chrome; 26.0.1410.43
CVE-2013-0970; cpe:/o:apple:mac_os_x; 10.8.3
CVE-2013-1003; cpe:/a:apple:itunes:; 11.0.3
CVE-2013-1385; cpe:/a:adobe:shockwave_player; 12.0.2.122
CVE-2013-1633; cpe:/a:python:setuptools; 0.7
CVE-2013-1647; cpe:/a:open-xchange:open-xchange_server; 6.20.7:rev14
CVE-2013-1647; cpe:/a:open-xchange:open-xchange_server; rev13
CVE-2013-1647; cpe:/a:open-xchange:open-xchange_server; rev14
CVE-2013-1651; cpe:/a:open-xchange:open-xchange_server; 6.20.7:rev14
CVE-2013-1651; cpe:/a:open-xchange:open-xchange_server; rev13
CVE-2013-1651; cpe:/a:open-xchange:open-xchange_server; rev14
CVE-2013-1778; cpe:/a:devsaran:creative:; 7.x
CVE-2013-1794; cpe:/a:openafs:openafs; 1.6.2
CVE-2013-2118; cpe:/a:spip:spip; 3.0.9
CVE-2013-2118; cpe:/a:spip:spip; 2.1.22
CVE-2013-2118; cpe:/a:spip:spip; 2.0.23
CVE-2013-2220; cpe:/a:radius_extension_project:radius:; 1.2.7
CVE-2013-2299; cpe:/a:advantech:advantech_webaccess; 7.1:2013.05.30
CVE-2013-2486; cpe:/a:wireshark:wireshark; 1.8.6
CVE-2013-2842; cpe:/a:google:chrome:; 27.0.1453.93
CVE-2013-2858; cpe:/a:google:chrome; 27.0.1453.110
CVE-2013-3080; cpe:/a:vmware:vcenter_server_appliance; update:1
CVE-2013-3237; cpe:/o:linux:linux_kernel:3.9; 3.9
CVE-2013-3238; cpe:/a:phpmyadmin:phpmyadmin:; 3.5.8
CVE-2013-3238; cpe:/a:phpmyadmin:phpmyadmin:; 4.0.0
CVE-2013-3327; cpe:/a:adobe:flash_player:; 10.3.183.86
CVE-2013-3327; cpe:/a:adobe:flash_player:; 11.7.700.202
CVE-2013-3327; cpe:/a:adobe:flash_player:; 10.3.183.86
CVE-2013-3327; cpe:/a:adobe:flash_player:; 11.2.202.285
CVE-2013-3327; cpe:/a:adobe:flash_player:; 11.1.111.54
CVE-2013-3327; cpe:/a:adobe:flash_player:; 11.1.115.58
CVE-2013-3327; cpe:/a:adobe:adobe_air:; 3.7.0.1860
CVE-2013-3327; cpe:/a:adobe:adobe_air:; 3.7.0.1860
CVE-2013-3354; cpe:/a:adobe:acrobat_reader:; 10.1.8
CVE-2013-3354; cpe:/a:adobe:acrobat:; 11.0.04
CVE-2013-3562; cpe:/a:wireshark:wireshark; 1.8.7
CVE-2013-4052; cpe:/a:ibm:websphere_application_server; 6.1.0.47
CVE-2013-4052; cpe:/a:ibm:websphere_application_server; 7.0.0.31
CVE-2013-4052; cpe:/a:ibm:websphere_application_server; 8.0.0.8
CVE-2013-4052; cpe:/a:ibm:websphere_application_server; 8.5.5.1
CVE-2013-4287; cpe:/a:rubygems:rubygems:; 1.8.23.1
CVE-2013-4287; cpe:/a:rubygems:rubygems:; 2.0.8
CVE-2013-4287; cpe:/a:rubygems:rubygems:; 2.1.0
CVE-2013-4709; cpe:/o:iij:seil%252fx86_firmware:; 2.82
CVE-2013-4709; cpe:/o:iij:seil%252fx1_firmware:; 4.32
CVE-2013-4709; cpe:/o:iij:seil%252fx1_firmware:; 4.32
CVE-2013-4709; cpe:/o:iij:seil%252fx1_firmware:; 4.32
CVE-2013-4709; cpe:/o:iij:seil%252fneu_2fe_plus_firmware:; 2.16
CVE-2013-4709; cpe:/o:iij:seil%252fneu_2fe_plus_firmware:; 2.16
CVE-2013-4872; cpe:/h:google:glass; xe6
CVE-2013-4920; cpe:/a:wireshark:wireshark; 1.10.1
CVE-2013-4926; cpe:/a:wireshark:wireshark; 1.10.1
CVE-2013-4936; cpe:/a:wireshark:wireshark; 1.10.1
CVE-2013-5097; cpe:/a:juniper:junos_space:; 13.1r1.6
CVE-2013-5173; cpe:/o:apple:mac_os_x:; 10.9
CVE-2013-5320; cpe:/a:sourcetreesolutions:mojoportal; 2.3.9.8
CVE-2013-5595; cpe:/a:mozilla:firefox:; 25.0
CVE-2013-5595; cpe:/a:mozilla:firefox_esr:; 17.0.10
CVE-2013-5595; cpe:/a:mozilla:firefox:; 24.1
CVE-2013-5595; cpe:/a:mozilla:firefox:; 24.1
CVE-2013-5595; cpe:/a:mozilla:firefox_esr:; 17.0.10
CVE-2013-5595; cpe:/a:mozilla:seamonkey:; 2.22
CVE-2013-6014; cpe:/o:juniper:junos; 10.4s15
CVE-2013-6014; cpe:/o:juniper:junos; 11.4r9
CVE-2013-6014; cpe:/o:juniper:junos; 11.4x27.44
CVE-2013-6014; cpe:/o:juniper:junos; 12.1r7
CVE-2013-6014; cpe:/o:juniper:junos; 12.1x44
CVE-2013-6014; cpe:/o:juniper:junos; 12.1x45
CVE-2013-6014; cpe:/o:juniper:junos; 12.2r6
CVE-2013-6014; cpe:/o:juniper:junos; 12.3r3
CVE-2013-6014; cpe:/o:juniper:junos; 13.1r3
CVE-2013-6014; cpe:/o:juniper:junos; 13.2r1
CVE-2013-6338; cpe:/a:wireshark:wireshark; 1.8.11
CVE-2013-6338; cpe:/a:wireshark:wireshark; 1.10.3
CVE-2013-6631; cpe:/a:google:chrome; 31.0.1650.48
CVE-2013-6861; cpe:/a:sybase:adaptive_server_enterprise; 15.0.3
CVE-2013-6861; cpe:/a:sybase:adaptive_server_enterprise; 15.5
CVE-2013-6861; cpe:/a:sybase:adaptive_server_enterprise; 15.7:sp50
